[INFO ][20180316 11:08:12,913][AbstractApplicationContext:515] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@63753b6d: startup date [Fri Mar 16 11:08:12 CST 2018]; root of context hierarchy
[INFO ][20180316 11:08:13,000][XmlBeanDefinitionReader:316] Loading XML bean definitions from class path resource [spring/spring-context.xml]
[INFO ][20180316 11:08:13,602][XmlBeanDefinitionReader:316] Loading XML bean definitions from class path resource [spring/spring-mybatis.xml]
[INFO ][20180316 11:08:13,753][XmlBeanDefinitionReader:316] Loading XML bean definitions from class path resource [spring/spring-dubbo-consumer.xml]
[INFO ][20180316 11:08:14,077][?:?] using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
[INFO ][20180316 11:08:14,414][XmlBeanDefinitionReader:316] Loading XML bean definitions from class path resource [spring/spring-dubbo-provider.xml]
[INFO ][20180316 11:08:14,823][PropertiesLoaderSupport:172] Loading properties file from class path resource [jdbc.properties]
[INFO ][20180316 11:08:14,825][PropertiesLoaderSupport:172] Loading properties file from class path resource [public_system.properties]
[INFO ][20180316 11:08:14,827][PropertiesLoaderSupport:172] Loading properties file from class path resource [alipay_config.properties]
[INFO ][20180316 11:08:14,836][PropertiesLoaderSupport:172] Loading properties file from class path resource [weixinpay_config.properties]
[INFO ][20180316 11:08:14,858][AutowiredAnnotationBeanPostProcessor:141] JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
